Time,Locations
2010-07-28 10:58:33.900000,00:09:42:00:19:a7
2010-07-28 10:58:34.540000,00:09:42:00:19:a7
2010-07-28 10:58:35.180000,00:09:42:00:19:a7
2010-07-28 10:58:35.820000,00:09:42:00:19:a7
2010-07-28 10:58:36.460000,00:09:42:00:19:a7
2010-07-28 10:58:37.100000,00:09:42:00:19:a7
2010-07-28 10:58:37.740000,00:09:42:00:19:a7
2010-07-28 10:58:38.380000,00:09:42:00:19:a7
2010-07-28 10:58:39.020000,00:09:42:00:19:a7
2010-07-28 10:58:39.660000,00:09:42:00:19:a7
2010-07-28 10:58:40.300000,00:09:42:00:19:a7
2010-07-28 10:58:40.940000,00:09:42:00:19:a7
2010-07-28 10:58:41.580000,00:09:42:00:19:a7
2010-07-28 10:58:42.220000,00:09:42:00:19:a7
2010-07-28 10:58:42.860000,00:09:42:00:19:a7
2010-07-28 10:58:43.500000,00:09:42:00:19:a7
2010-07-28 10:58:44.140000,00:09:42:00:19:a7
2010-07-28 10:58:44.780000,00:09:42:00:19:a7
2010-07-28 10:58:45.420000,00:09:42:00:19:a7
2010-07-28 10:58:46.060000,00:09:42:00:19:a7
2010-07-28 10:58:46.700000,00:09:42:00:19:a7
2010-07-28 10:58:47.340000,00:09:42:00:19:a7
2010-07-28 10:58:47.980000,00:09:42:00:19:a7
2010-07-28 10:58:48.620000,00:09:42:00:19:a7
2010-07-28 10:58:49.260000,00:09:42:00:19:a7
2010-07-28 10:58:49.900000,00:09:42:00:19:a7
2010-07-28 10:58:50.540000,00:09:42:00:19:a7
2010-07-28 10:58:51.180000,00:09:42:00:19:a7
2010-07-28 10:58:51.820000,00:09:42:00:19:a7
2010-07-28 10:58:52.460000,00:09:42:00:19:a7
2010-07-28 10:58:53.100000,00:09:42:00:19:a7
2010-07-28 10:58:53.740000,00:09:42:00:19:a7
2010-07-28 10:58:54.380000,00:09:42:00:19:a7
2010-07-28 10:58:55.020000,00:09:42:00:19:a7
2010-07-28 10:58:55.660000,00:09:42:00:19:a7
2010-07-28 10:58:56.300000,00:09:42:00:19:a7
2010-07-28 10:58:56.940000,00:09:42:00:19:a7
2010-07-28 10:58:57.580000,00:09:42:00:19:a7
2010-07-28 10:58:58.220000,00:09:42:00:19:a7
2010-07-28 10:58:58.860000,00:09:42:00:19:a7
2010-07-28 10:58:59.500000,00:09:42:00:19:a7
2010-07-28 10:59:00.140000,00:09:42:00:19:a7
2010-07-28 10:59:00.780000,00:09:42:00:19:a7
2010-07-28 10:59:01.420000,00:09:42:00:19:a7
2010-07-28 10:59:02.060000,00:09:42:00:19:a7
2010-07-28 10:59:02.700000,00:09:42:00:19:a7
2010-07-28 10:59:03.340000,00:09:42:00:19:a7
2010-07-28 10:59:03.980000,00:09:42:00:19:a7
2010-07-28 10:59:04.620000,00:09:42:00:19:a7
2010-07-28 10:59:05.260000,00:09:42:00:19:a7
2010-07-28 10:59:05.900000,00:09:42:00:19:a7
2010-07-28 10:59:06.540000,00:09:42:00:19:a7
2010-07-28 10:59:07.180000,00:09:42:00:19:a7
2010-07-28 10:59:07.820000,00:09:42:00:19:a7
2010-07-28 10:59:08.460000,00:09:42:00:19:a7
2010-07-28 10:59:09.100000,00:09:42:00:19:a7
2010-07-28 10:59:09.740000,00:09:42:00:19:a7
2010-07-28 10:59:10.380000,00:09:42:00:19:a7
2010-07-28 10:59:11.020000,00:09:42:00:19:a7
2010-07-28 10:59:11.660000,00:09:42:00:19:a7
2010-07-28 10:59:12.300000,00:09:42:00:19:a7
2010-07-28 10:59:12.940000,00:09:42:00:19:a7
2010-07-28 10:59:13.580000,00:09:42:00:19:a7
2010-07-28 10:59:14.220000,00:09:42:00:19:a7
2010-07-28 10:59:14.860000,00:09:42:00:19:a7
2010-07-28 10:59:15.500000,00:09:42:00:19:a7
2010-07-28 10:59:16.140000,00:09:42:00:19:a7
2010-07-28 10:59:16.780000,00:09:42:00:19:a7
2010-07-28 10:59:17.420000,00:09:42:00:19:a7
2010-07-28 10:59:18.060000,00:09:42:00:19:a7
2010-07-28 10:59:18.700000,00:09:42:00:19:a7
2010-07-28 10:59:19.340000,00:09:42:00:19:a7
2010-07-28 10:59:19.980000,00:09:42:00:19:a7
2010-07-28 10:59:20.620000,00:09:42:00:19:a7
2010-07-28 10:59:21.260000,00:09:42:00:19:a7
2010-07-28 10:59:21.900000,00:09:42:00:19:a7
2010-07-28 10:59:22.540000,00:09:42:00:19:a7
2010-07-28 10:59:23.180000,00:09:42:00:19:a7
2010-07-28 10:59:23.820000,00:09:42:00:19:a7
2010-07-28 10:59:24.460000,00:09:42:00:19:a7
2010-07-28 10:59:25.100000,00:09:42:00:19:a7
2010-07-28 10:59:25.740000,00:09:42:00:19:a7
2010-07-28 10:59:26.380000,00:09:42:00:19:a7
2010-07-28 10:59:27.020000,00:09:42:00:19:a7
2010-07-28 10:59:27.660000,00:09:42:00:19:a7
2010-07-28 10:59:28.300000,00:09:42:00:19:a7
2010-07-28 10:59:28.940000,00:09:42:00:19:a7
2010-07-28 10:59:29.580000,00:09:42:00:19:a7
2010-07-28 10:59:30.220000,00:09:42:00:19:a7
2010-07-28 10:59:30.860000,00:09:42:00:19:a7
2010-07-28 10:59:31.500000,00:09:42:00:19:a7
2010-07-28 10:59:32.140000,00:09:42:00:19:a7
2010-07-28 10:59:32.780000,00:09:42:00:19:a7
2010-07-28 10:59:33.420000,00:09:42:00:19:a7
2010-07-28 10:59:34.060000,00:09:42:00:19:a7
2010-07-28 10:59:34.700000,00:09:42:00:19:a7
2010-07-28 10:59:35.340000,00:09:42:00:19:a7
2010-07-28 10:59:35.980000,00:09:42:00:19:a7
2010-07-28 10:59:36.620000,00:09:42:00:19:a7
2010-07-28 10:59:37.260000,00:09:42:00:19:a7
2010-07-28 10:59:37.900000,00:09:42:00:19:a7
2010-07-28 10:59:38.540000,00:09:42:00:19:a7
2010-07-28 10:59:39.180000,00:09:42:00:19:a7
2010-07-28 10:59:39.820000,00:09:42:00:19:a7
2010-07-28 10:59:40.460000,00:09:42:00:19:a7
2010-07-28 10:59:41.100000,00:09:42:00:19:a7
2010-07-28 10:59:41.740000,00:09:42:00:19:a7
2010-07-28 10:59:42.380000,00:09:42:00:19:a7
2010-07-28 10:59:43.020000,00:09:42:00:19:a7
2010-07-28 10:59:43.660000,00:09:42:00:19:a7
2010-07-28 10:59:44.300000,00:09:42:00:19:a7
2010-07-28 10:59:44.940000,00:09:42:00:19:a7
2010-07-28 10:59:45.580000,00:09:42:00:19:a7
2010-07-28 10:59:46.220000,00:09:42:00:19:a7
2010-07-28 10:59:46.860000,00:09:42:00:19:a7
2010-07-28 10:59:47.500000,00:09:42:00:19:a7
2010-07-28 10:59:48.140000,00:09:42:00:19:a7
2010-07-28 10:59:48.780000,00:09:42:00:19:a7
2010-07-28 10:59:49.420000,00:09:42:00:19:a7
2010-07-28 10:59:50.060000,00:09:42:00:19:a7
2010-07-28 10:59:50.700000,00:09:42:00:19:a7
2010-07-28 10:59:51.340000,00:09:42:00:19:a7
2010-07-28 10:59:51.980000,00:09:42:00:19:a7
2010-07-28 10:59:52.620000,00:09:42:00:19:a7
2010-07-28 10:59:53.260000,00:09:42:00:19:a7
2010-07-28 10:59:53.900000,00:09:42:00:19:a7
2010-07-28 10:59:54.540000,00:09:42:00:19:a7
2010-07-28 10:59:55.180000,00:09:42:00:19:a7
2010-07-28 10:59:55.820000,00:09:42:00:19:a7
2010-07-28 10:59:56.460000,00:09:42:00:19:a7
2010-07-28 10:59:57.100000,00:09:42:00:19:a7
2010-07-28 10:59:57.740000,00:09:42:00:19:a7
