@relation 1811teachset2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' ax' numeric
@attribute ' ay' numeric
@attribute ' az' numeric
@attribute ' gx' numeric
@attribute ' gy' numeric
@attribute ' gz' numeric
@attribute ' gesture' {Down,Idle,Left,LRollL,LRollR,Right,RollL,RollR,Up}

@data
-174,195,996,73,-61,45,Down
-178,193,998,73,-44,90,Down
-181,192,1002,73,-44,90,Down
-184,193,998,73,-44,90,Down
-174,192,995,73,-44,90,Down
-171,196,989,90,-44,90,Down
-172,201,984,73,-44,90,Down
-172,207,983,73,-44,90,Down
-172,204,986,73,-44,90,Down
-162,199,993,73,-44,90,Down
-163,199,990,73,-44,90,Down
-171,193,996,73,-44,90,Down
-168,199,987,73,-44,90,Down
-166,202,981,73,-44,90,Down
-160,199,986,73,-44,90,Down
-166,199,995,73,-44,90,Down
-165,201,995,73,-61,90,Down
-165,196,993,73,-61,90,Down
-171,193,996,73,-44,90,Down
-163,192,999,73,-44,90,Down
-172,192,998,73,-44,90,Down
-174,189,999,73,-44,90,Down
-177,187,993,73,-44,90,Down
-177,192,987,90,-44,90,Down
-175,195,986,90,-44,90,Down
-172,195,983,90,-28,90,Down
-175,195,990,90,-28,90,Down
-177,192,996,90,-28,135,Down
-186,193,1007,90,-28,90,Down
-181,193,999,73,-28,135,Down
-181,195,995,73,-44,90,Down
-169,196,993,73,-44,90,Down
-171,202,987,73,-44,90,Down
-178,195,987,73,-44,90,Down
-174,195,989,73,-44,45,Down
-172,201,990,90,-44,45,Down
-165,201,996,73,-44,45,Down
-169,195,1004,90,-28,135,Down
-172,196,1002,90,-28,90,Down
-171,198,998,90,-28,90,Down
-163,196,1002,90,-28,135,Down
-172,192,996,73,-44,90,Down
-169,193,998,73,-44,135,Down
-171,198,995,73,-61,135,Down
-169,198,998,73,-77,181,Down
-166,201,1001,57,-77,90,Down
-163,196,998,73,-77,90,Down
-154,195,995,90,-61,90,Down
-150,193,998,73,-61,135,Down
-153,196,993,73,-44,90,Down
-163,196,995,73,-44,135,Down
-165,201,993,73,-28,90,Down
-174,199,996,73,-28,90,Down
-183,201,989,73,-44,90,Down
-180,199,987,73,-61,45,Down
-174,195,993,73,-61,45,Down
-168,195,995,73,-77,135,Down
-163,189,993,57,-61,135,Down
-162,190,995,73,-61,90,Down
-162,196,996,57,-61,135,Down
-168,198,989,73,-44,90,Down
-174,193,990,90,-44,90,Down
-171,195,998,73,-44,135,Down
-180,192,990,90,-44,90,Down
-177,195,987,90,-44,45,Down
-169,198,984,73,-61,90,Down
-165,198,987,90,-44,90,Down
-163,204,990,57,-61,45,Down
-169,199,996,90,-28,90,Down
-166,202,993,57,-44,90,Down
-171,196,996,73,-61,45,Down
-175,195,993,73,-44,90,Down
-174,192,998,73,-61,90,Down
-172,190,996,73,-61,90,Down
-162,192,996,73,-61,90,Down
-162,195,1002,73,-61,135,Down
-156,193,995,73,-44,90,Down
-159,196,998,73,-44,135,Down
-160,199,996,90,-28,90,Down
-165,198,995,73,-28,90,Down
-163,196,999,73,-44,90,Down
-172,195,995,73,-44,90,Down
